taxon_oid,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID ,GOLD Analysis Project ID,GOLD Sequencing Project ID,Contact Name,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Project / Study Name,Specific Ecosystem,Genome Size   * assembled,Gene Count   * assembled
3300007345,Metagenome,Draft,Aqueous microbial communities from the Delaware River/Bay and Chesapeake Bay under freshwater to marine salinity gradient to study organic matter cycling in a time-series,Aqueous microbial communities from the Delaware River and Bay under freshwater to marine salinity gradient to study organic matter cycling in a time-series - Viral MetaG DEL_Aug_30,DOE Joint Genome Institute (JGI),3300007345,Ga0070752,Gp0112827,Barbara Campbell,Environmental,Aquatic,Coastal,Marine,Aqueous microbial communities from the Delaware River and Bay under freshwater to marine salinity gradient to study organic matter cycling in a time-series - Viral MetaG DEL_Aug_30,Unclassified,724055380,1596587
3300029381,Metagenome,Draft,"Human feces microbial communities from cholera patients in hospital, Baltimore, Maryland, USA","Human feces microbial communities from a cholera patient in hospital, Baltimore, Maryland, USA - 075_4_29_stool_2","Institute for Genome Sciences, University of Maryland School of Medicine",3300029381,Ga0243902,Gp0283063,,Host-associated,Human,Large intestine,Digestive system,"Human feces microbial communities from a cholera patient in hospital, Baltimore, Maryland, USA - 075_4_29_stool_2",Fecal,296471018,420466
3300026035,Metagenome,Draft,"Corn, switchgrass and miscanthus rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA","Switchgrass rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - KBS Switchgrass S1-2 (SPAdes)",DOE Joint Genome Institute (JGI),3300026035,Ga0207703,Gp0111713,James Tiedje,Host-associated,Plants,Epiphytes,Rhizoplane,"Switchgrass rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - KBS Switchgrass S1-2",Unclassified,4353717491,10066448
3300013018,Metagenome,Draft,"Subsurface microbial communities from deep shales in Ohio and West Virginia, USA","Subsurface microbial communities from deep shales in West Virginia, USA - MSEEL Well Study Marcellus 5H_2016_02_17",DOE Joint Genome Institute (JGI),3300013018,Ga0163223,Gp0191408,Kelly Wrighton,Environmental,Terrestrial,,Deep subsurface,"Subsurface microbial communities from deep shales in West Virginia, USA - MSEEL Well Study Marcellus 5H_2016_02_17",,73301315,119134
3300000979,Metagenome,Permanent Draft,Macroalgal surface microbial communities,"Macroalgal surface ecosystem from Botany Bay, Sydney, Australia - BBAY78",J. Craig Venter Institute (JCVI),3300000979,Ga0011789,Gp0057688,Alexandra Jazmin Roth Schulze,Host-associated,Algae,Ectosymbionts,Green algae,"Macroalgal surface ecosystem from Botany Bay, Sydney, Australia - BBAY78",Unclassified,880526102,2888506
3300016461,Metagenome,Draft,Continental margin sediment microbial communities from various locations,Continental margin sediment microbial communities from China - ANME2c_DSS_Sorted metaG,DOE Joint Genome Institute (JGI),3300016461,Ga0126362,Gp0146713,Frederick Colwell,Environmental,Aquatic,,Marine,Continental margin sediment microbial communities from China - ANME2c_DSS_Sorted metaG,,735816303,1315958
3300012953,Metagenome,Draft,"Marine eukaryotic phytoplankton communities from the Norwegian Sea, Arctic and Atlantic Ocean",Marine eukaryotic phytoplankton communities from the Atlantic Ocean - Atlantic ANT 2 Metagenome,DOE Joint Genome Institute (JGI),3300012953,Ga0163179,Gp0191381,Thomas Mock,Environmental,Aquatic,Oceanic,Marine,Marine eukaryotic phytoplankton communities from the Atlantic Ocean - Atlantic ANT 2 Metagenome,,3480224628,7021553
3300025685,Metagenome,Draft,Pelagic marine microbial communities from North Sea,Pelagic marine microbial communities from North Sea - COGITO_mtgs_110404 (SPAdes),DOE Joint Genome Institute (JGI),3300025685,Ga0209095,Gp0136964,Hanno Teeling,Environmental,Aquatic,Pelagic,Marine,Pelagic marine microbial communities from North Sea - COGITO_mtgs_110404,Unclassified,457766208,891668
3300014603,Metagenome,Draft,"Urban prokaryotic and eukaryotic communities from the subway and surrounding areas in New York, USA","Urban prokaryotic and eukaryotic communities from the subway in New York, USA: city subway metal -P01170",Weill Cornell Medical College,3300014603,Ga0121259,Gp0135478,,Engineered,Built environment,Subway,City,"Urban prokaryotic and eukaryotic communities from the subway in New York, USA: city subway metal -P01170",Unclassified,27377877,37781
3300029031,Metagenome,Draft,Human host-associated microbial communities from fecal samples of mother and infant in Denmark,Human fecal microbial communities from infant at 12 months in Denmark - 276_12M,Beijing Genomics Institute (BGI),3300029031,Ga0169626,Gp0193620,,Host-associated,Human,Large intestine,Digestive system,Human fecal microbial communities from infant at 12 months in Denmark - 276_12M,Fecal,109103903,123591
3300029458,Metagenome,Draft,"Human fecal microbial communities from Shanghai Jiao Tong University, China","Human fecal microbial communities from Shanghai Jiao Tong University, China - RSZAXPI001919-113",Beijing Genomics Institute (BGI),3300029458,Ga0244161,Gp0283338,,Host-associated,Human,Large intestine,Digestive system,"Human fecal microbial communities from Shanghai Jiao Tong University, China - RSZAXPI001919-113",Fecal,107685324,128141
3300007869,Metagenome,Permanent Draft,"Human microbial communities from the National Institute of Health, USA, HMP production phase","Human buccal mucosa microbial communities from NIH, USA - visit 2, subject 764305738 reassembly","Baylor College of Medicine, J. Craig Venter Institute (JCVI), Washington University in St. Louis",3300007869,Ga0111024,Gp0052935,,Host-associated,Human,Oral,Digestive system,"Human buccal mucosa microbial communities from NIH, USA - visit 2, subject 764305738",buccal mucosa,54376829,97643
3300025358,Metagenome,Draft,"Freshwater microbial communities from Crystal Bog lake, Wisconsin, USA","Freshwater microbial communities from Crystal Bog, Wisconsin, USA - CBH05Oct08 (SPAdes)","DOE Joint Bioenergy Institute (JBEI), DOE Joint Genome Institute (JGI)",3300025358,Ga0208504,Gp0088312,Katherine McMahon,Environmental,Aquatic,Lentic,Freshwater,"Freshwater microbial communities from Crystal Bog, Wisconsin, USA -  CBH05Oct08",Unclassified,92518102,188305
3300025274,Metagenome,Draft,Deep ocean microbial communities from the Global Malaspina Expedition,Marine viral communities from the Global Malaspina Expedition - Malaspina viral metaG DeepMed_51 (SPAdes),DOE Joint Genome Institute (JGI),3300025274,Ga0208183,Gp0134281,Silvia G. Acinas,Environmental,Aquatic,Oceanic,Marine,Marine viral communities from the Global Malaspina Expedition - Malaspina viral metaG DeepMed_51,Unclassified,230315946,506009
3300007145,Metagenome,Permanent Draft,"Human microbial communities from the National Institute of Health, USA, HMP production phase","Human subgingival plaque microbial communities from NIH, USA - visit 1, subject 763435843","Baylor College of Medicine, J. Craig Venter Institute (JCVI), Washington University in St. Louis",3300007145,Ga0103286,Gp0052646,,Host-associated,Human,Oral,Digestive system,"Human subgingival plaque microbial communities from NIH, USA - visit 1, subject 763435843",subgingival plaque,67262502,137951
3300017948,Metagenome,Draft,"Peatland microbial communities from Minnesota, USA, analyzing carbon cycling and trace gas fluxes","Peatland microbial communities from SPRUCE experiment site at the Marcell Experimental Forest, Minnesota, USA - June2016WEW_4_10",DOE Joint Genome Institute (JGI),3300017948,Ga0187847,Gp0213331,Erik Lilleskov,Environmental,Aquatic,Wetlands,Freshwater,"Peatland microbial communities from SPRUCE experiment site at the Marcell Experimental Forest, Minnesota, USA - June2016WEW_4_10",Bog,1443896493,2910194
2156126005,Metagenome,Draft,Marine Trichodesmium cyanobacterial communities from the Bermuda Atlantic Time-Series,Marine Trichodesmium cyanobacterial communities from the Bermuda Atlantic Time-Series,DOE Joint Genome Institute (JGI),2156126005,Ga0026255,Gp0052361,Tijana Glavina del Rio,Environmental,Aquatic,Oceanic,Marine,Marine Trichodesmium cyanobacterial communities from the Bermuda Atlantic Time-Series,Unclassified,131475334,242907
3300022217,Metagenome,Draft,"Estuarine microbial communities from the San Francisco Bay-Delta (SFBD), California, United States","Sediment microbial communities from San Francisco Bay, California, United States - SF_May12_sed_USGS_24",DOE Joint Genome Institute (JGI),3300022217,Ga0224514,Gp0256442,Christopher Francis,Environmental,Aquatic,Sediment,Marine,"Sediment microbial communities from San Francisco Bay, California, United States - SF_May12_sed_USGS_24",,833350490,2020995
3300006260,Metagenome,Permanent Draft,"Human microbial communities from the National Institute of Health, USA, HMP production phase","Human tongue dorsum microbial communities from NIH, USA - visit 1, subject 159915365","Baylor College of Medicine, J. Craig Venter Institute (JCVI), Washington University in St. Louis",3300006260,Ga0099518,Gp0052821,,Host-associated,Human,Oral,Digestive system,"Human tongue dorsum microbial communities from NIH, USA - visit 1, subject 159915365",tongue dorsum,129283641,168143
3300013405,Metagenome,Draft,Human skin bacterial and viral communities - University of Pennsylvania,Human skin bacterial and viral communities - University of Pennsylvania - MG100152,University of Pennsylvania,3300013405,Ga0117965,Gp0137902,,Host-associated,Human,Unclassified,Skin,Human skin bacterial and viral communities - University of Pennsylvania - MG100152,Unclassified,4148464,7300
3300027819,Metagenome,Permanent Draft,"Groundwater microbial communities from coal-tar-waste-contaminated well in S. Glens Falls, New York, USA","Subsurface groundwater microbial communities from S. Glens Falls, New York, USA - GMW37 contaminated, 5.8 m (SPAdes)",DOE Joint Genome Institute (JGI),3300027819,Ga0209514,Gp0053848,Eugene Madsen,Environmental,Aquatic,Groundwater,Freshwater,"Subsurface groundwater microbial communities from S. Glens Falls, New York, USA - GMW37 contaminated, 5.8 m",Contaminated,1161803823,2007806
3300025577,Metagenome,Draft,Pelagic marine microbial communities from North Sea,Pelagic marine microbial communities from North Sea - COGITO_mtgs_100423 (SPAdes),DOE Joint Genome Institute (JGI),3300025577,Ga0209304,Gp0136958,Hanno Teeling,Environmental,Aquatic,Pelagic,Marine,Pelagic marine microbial communities from North Sea - COGITO_mtgs_100423,Unclassified,316637539,597781
3300026337,Metagenome,Draft,Determining the genomic basis for interactions between gut fungi and methanogenic archaea,"Enriched fungal communities from goat fecal pellet, Isla Vista, California, United States - Xylan, Gen5, Rep 2",DOE Joint Genome Institute (JGI),3300026337,Ga0214516,Gp0242249,Michelle O'Malley,Host-associated,Mammals,Fecal,Digestive system,"Enriched fungal communities from goat fecal pellet, Isla Vista, California, United States - Xylan, Gen5, Rep 2",,11411377,16944
3300025682,Metagenome,Draft,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from various locations,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Japan - AD_JPNAS1_MetaG (SPAdes),DOE Joint Genome Institute (JGI),3300025682,Ga0209718,Gp0138833,Wen-Tso Liu,Engineered,Wastewater,Unclassified,Anaerobic digestor,Active sludge microbial communities of municipal wastewater-treating anaerobic digesters from Japan - AD_JPNAS1_MetaG,Unclassified,536123735,886855
3300012070,Metagenome,Draft,Attine ant fungus gardens microbial communities from various locations in USA,"Attine ant fungus gardens microbial communities from Florida, USA - TSFL047 MetaG",DOE Joint Genome Institute (JGI),3300012070,Ga0153963,Gp0175772,Jonathan L. Klassen,Host-associated,Fungi,,Mycelium,"Attine ant fungus gardens microbial communities from Florida, USA - TSFL047 MetaG",,140448343,267593
2119805007,Metagenome,Permanent Draft,"Hot spring microbial communities from Yellowstone National Park, Wyoming, USA","Hot spring microbial communities from Beowulf Spring, Yellowstone National Park, Wyoming, USA - YNP_Beowulf Spring_D",DOE Joint Genome Institute (JGI),2119805007,Ga0026449,Gp0052315,William P. Inskeep,Environmental,Aquatic,Hot (42-90C),Thermal springs,"Hot spring microbial communities from Beowulf Spring, Yellowstone National Park, Wyoming, USA - YNP_Beowulf Spring_D",Unclassified,60745063,128754
3300020376,Metagenome,Draft,Marine viral and eukaryotic protist communities collected from different water depths during Tara Oceans survey,Marine microbial communities from Tara Oceans - TARA_B100000795 (ERX555997-ERR599121),CEA Genoscope,3300020376,Ga0211682,Gp0117264,William William,Environmental,Aquatic,,Marine,Marine microbial communities from Tara Oceans - TARA_B100000795,,771976005,1723808
3300013618,Metagenome,Draft,"Urban prokaryotic and eukaryotic communities from the subway and surrounding areas in New York, USA","Urban prokaryotic and eukaryotic communities from the subway in New York, USA: city subway metal -P01119",Weill Cornell Medical College,3300013618,Ga0121225,Gp0135444,,Engineered,Built environment,Subway,City,"Urban prokaryotic and eukaryotic communities from the subway in New York, USA: city subway metal -P01119",Unclassified,8551993,12461
3300014571,Metagenome,Draft,Human fecal microbial communities from obese patients in Germany,Human fecal microbial communities from obese patients in Germany - AS60_0,University of Hohenheim,3300014571,Ga0134369,Gp0151541,,Host-associated,Human,Large intestine,Digestive system,Human fecal microbial communities from obese patients in Germany - AS60_0,Fecal,127675257,187012
3300027125,Metagenome,Draft,Freshwater microbial communities amended with dissolved organic matter (DOM) from various rivers in the United States,"Freshwater microbial communities from St. Lawrence River, New York, United States - Law_Cont_RepB_8h",DOE Joint Genome Institute (JGI),3300027125,Ga0255106,Gp0293299,Byron Crump,Environmental,Aquatic,River,Freshwater,"Freshwater microbial communities from St. Lawrence River, New York, United States - Law_Cont_RepB_8h",,101499711,204617
3300006028,Metagenome,Draft,"Corn, switchgrass and miscanthus rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA","Corn, switchgrass and miscanthus rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - LAR L11-3 metaG",DOE Joint Genome Institute (JGI),3300006028,Ga0070717,Gp0112814,James Tiedje,Environmental,Terrestrial,Loam,Soil,"Corn, switchgrass and miscanthus rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - LAR L11-3 metaG",Agricultural Soil,4502491703,12308638
3300011483,Metagenome,Draft,"Urban prokaryotic and eukaryotic communities from the subway and surrounding areas in New York, USA","Urban prokaryotic and eukaryotic communities from the subway in New York, USA: city subway metal/plastic -P01144",Weill Cornell Medical College,3300011483,Ga0121638,Gp0135857,,Engineered,Built environment,Subway,City,"Urban prokaryotic and eukaryotic communities from the subway in New York, USA: city subway metal/plastic -P01144",Unclassified,22240365,26742
3300014655,Metagenome,Draft,"Peatland microbial communities from Minnesota, USA, analyzing carbon cycling and trace gas fluxes","Peatland microbial communities from Houghton, MN, USA - PEATcosm2014_Bin01_10_metaG",DOE Joint Genome Institute (JGI),3300014655,Ga0181516,Gp0208359,Erik Lilleskov,Environmental,Aquatic,Wetlands,Freshwater,"Peatland microbial communities from Houghton, MN, USA - PEATcosm2014_Bin01_10_metaG",Bog,1201575385,2387332
3300022181,Metagenome,Draft,"Enriched cultures of PCE-dechlorinating microbial communities from Ithaca, New York, USA","Enriched culture of PCE-dechlorinating microbial communities from Ithaca, New York, USA - SJ1",DOE Joint Genome Institute (JGI),3300022181,Ga0228535,Gp0267134,Ruth Richardson,Engineered,Modeled,,Simulated communities (microbial mixture),"Enriched culture of PCE-dechlorinating microbial communities from Ithaca, New York, USA - SJ1",,376029271,518002
3300027345,Metagenome,Draft,"Mesophilic and thermophilic cellulose-adapted microbial communities from the Joint BioEnergy Institute, California, USA","Cellulose-adapted microbial communities from the Joint BioEnergy Institute, USA - Passage B1F09 (SPAdes)",DOE Joint Genome Institute (JGI),3300027345,Ga0207793,Gp0111690,Steven W. Singer,Engineered,Lab enrichment,Unclassified,Defined media,"Cellulose-adapted microbial communities from the Joint BioEnergy Institute, USA - Passage B1F09",Unclassified,43588627,52874
3300014152,Metagenome,Draft,"Peatland microbial communities from Minnesota, USA, analyzing carbon cycling and trace gas fluxes","Peatland microbial communities from Houghton, MN, USA - PEATcosm2014_Bin11_60_metaG",DOE Joint Genome Institute (JGI),3300014152,Ga0181533,Gp0208376,Erik Lilleskov,Environmental,Aquatic,Wetlands,Freshwater,"Peatland microbial communities from Houghton, MN, USA - PEATcosm2014_Bin11_60_metaG",Bog,768604457,1279498
3300029315,Metagenome,Draft,"Human feces microbial communities from a patient in hospital, Baltimore, Maryland, USA","Human feces microbial communities from a patient in hospital, Baltimore, Maryland, USA - 001_6_5_stool_1","Institute for Genome Sciences, University of Maryland School of Medicine",3300029315,Ga0242753,Gp0281869,,Host-associated,Human,Large intestine,Digestive system,"Human feces microbial communities from a patient in hospital, Baltimore, Maryland, USA - 001_6_5_stool_1",Fecal,157316190,184222
3300027328,Metagenome,Permanent Draft,"Host-associated microbial community of the marine sponge Aplysina aerophoba from Gulf of Piran, Adriatic Sea","Host-associated microbial community of the marine sponge Aplysina aerophoba from Gulf of Piran - sponge pinacoderm, lysed by bead beating (SPAdes)",DOE Joint Genome Institute (JGI),3300027328,Ga0209020,Gp0055083,Ute Hentschel,Host-associated,Porifera,Unclassified,Unclassified,"Host-associated microbial community of the marine sponge Aplysina aerophoba from Gulf of Piran - sponge pinacoderm, lysed by bead beating",Unclassified,296225412,441834
3300014010,Metagenome,Draft,"Urban prokaryotic and eukaryotic communities from the subway and surrounding areas in New York, USA","Urban prokaryotic and eukaryotic communities from the subway in New York, USA: city subway metal/plastic -P00874",Weill Cornell Medical College,3300014010,Ga0121584,Gp0135803,,Engineered,Built environment,Subway,City,"Urban prokaryotic and eukaryotic communities from the subway in New York, USA: city subway metal/plastic -P00874",Unclassified,15008858,28558
3300000116,Metagenome,Draft,Marine microbial communities from Delaware Coast,"Marine microbial communities from Delaware Coast, sample from Delaware MO Spring March 2010",DOE Joint Genome Institute (JGI),3300000116,Ga0026081,Gp0053580,Barbara Campbell,Environmental,Aquatic,Neritic zone,Marine,"Marine microbial communities from Delaware Coast, sample from Delaware MO Spring March 2010",Unclassified,590073671,1417215
3300013330,Metagenome,Draft,Human skin bacterial and viral communities - University of Pennsylvania,Human skin bacterial and viral communities - University of Pennsylvania - MG100585,University of Pennsylvania,3300013330,Ga0118298,Gp0138235,,Host-associated,Human,Unclassified,Skin,Human skin bacterial and viral communities - University of Pennsylvania - MG100585,Unclassified,9101584,21183
3300012971,Metagenome,Draft,Tropical forest soil microbial communities from Panama analyzed to predict greenhouse gas emissions,Tropical forest soil microbial communities from Panama - MetaG Plot_1,DOE Joint Genome Institute (JGI),3300012971,Ga0126369,Gp0146720,Susannah Tringe,Environmental,Terrestrial,,Soil,Tropical forest soil microbial communities from Panama - MetaG Plot_1,,5275056255,11534963
3300007268,Metagenome,Permanent Draft,"Human microbial communities from the National Institute of Health, USA, HMP production phase","Human buccal mucosa microbial communities from NIH, USA - visit 2, subject 763840445 reassembly","Baylor College of Medicine, J. Craig Venter Institute (JCVI), Washington University in St. Louis",3300007268,Ga0104869,Gp0052712,,Host-associated,Human,Oral,Digestive system,"Human buccal mucosa microbial communities from NIH, USA - visit 2, subject 763840445",buccal mucosa,27143538,57683
3300029936,Metagenome,Draft,Activated sludge bacterial and viral communities from EBPR bioreactors in Australia,"Activated sludge bacterial and viral communities from EBPR bioreactors in Queensland, Australia - SBR4-V92206",California Institute of Technology,3300029936,Ga0119925,Gp0137268,,Engineered,Wastewater,Biological phosphorus removal,Nutrient removal,"Activated sludge bacterial and viral communities from EBPR bioreactors in Queensland, Australia - SBR4-V92206",Bioreactor,31672081,61076
3300025460,Metagenome,Draft,"Peatland microbial communities from Minnesota, USA, analyzing carbon cycling and trace gas fluxes","Peatland microbial communities from Minnesota, USA, analyzing carbon cycling and trace gas fluxes - June2015DPH_16_150 (SPAdes)",DOE Joint Genome Institute (JGI),3300025460,Ga0208562,Gp0138754,Erik Lilleskov,Environmental,Aquatic,Wetlands,Freshwater,"Peatland microbial communities from Minnesota, USA, analyzing carbon cycling and trace gas fluxes - June2015DPH_16_150",Unclassified,231793962,437355
3300022890,Metagenome,Draft,Saline lake microbial communities from various lakes in Antarctica,"Saline water microbial communities from Ace Lake, Antarctica - #657",DOE Joint Genome Institute (JGI),3300022890,Ga0222667,Gp0255759,Rick Cavicchioli,Environmental,Aquatic,Saline,Non-marine Saline and Alkaline,"Saline water microbial communities from Ace Lake, Antarctica - #657",,196439047,433113
3300005365,Metagenome,Draft,"Corn, switchgrass and miscanthus rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA","Switchgrass rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - KBS S1-3H metaG",DOE Joint Genome Institute (JGI),3300005365,Ga0070688,Gp0112785,James Tiedje,Environmental,Terrestrial,Loam,Soil,"Switchgrass rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - KBS S1-3H metaG",Agricultural Soil,4265998722,11962745
3300007502,Metagenome,Permanent Draft,"Human microbial communities from the National Institute of Health, USA, HMP production phase","Human tongue dorsum microbial communities from NIH, USA - visit 1, subject 764285508 reassembly","Baylor College of Medicine, J. Craig Venter Institute (JCVI), Washington University in St. Louis",3300007502,Ga0104995,Gp0052755,,Host-associated,Human,Oral,Digestive system,"Human tongue dorsum microbial communities from NIH, USA - visit 1, subject 764285508",tongue dorsum,56754890,72125
3300025499,Metagenome,Permanent Draft,"Arctic peat soil microbial communities from the Barrow Environmental Observatory site, Barrow, Alaska, USA","Arctic peat soil from Barrow, Alaska - NGEE Surface sample 415-1 deep-092012 (SPAdes)",DOE Joint Genome Institute (JGI),3300025499,Ga0207931,Gp0056247,Janet Jansson,Environmental,Terrestrial,Unclassified,Soil,"Arctic peat soil from Barrow, Alaska - NGEE Surface sample 415-1 deep-092012",Permafrost,233111880,510692
3300027528,Metagenome,Permanent Draft,Forest soil microbial communities from multiple locations in Canada and USA,"Forest soil microbial communities from El Dorado National Forest, California, USA - Mediterranean Blodgett CA Ref_O1 (SPAdes)",DOE Joint Genome Institute (JGI),3300027528,Ga0208985,Gp0053809,William Mohn,Environmental,Terrestrial,Loam,Soil,"Forest soil microbial communities from El Dorado National Forest, California, USA - Mediterranean Blodgett CA Ref_O1",Forest soil,234846570,574857
3300013351,Metagenome,Draft,Human skin bacterial and viral communities - University of Pennsylvania,Human skin bacterial and viral communities - University of Pennsylvania - MG100505,University of Pennsylvania,3300013351,Ga0118628,Gp0138517,,Host-associated,Human,Unclassified,Skin,Human skin bacterial and viral communities - University of Pennsylvania - MG100505,Unclassified,42418608,89724
3300027521,Metagenome,Permanent Draft,Forest soil microbial communities from multiple locations in Canada and USA,"Forest soil microbial communities from Algoma, Ontario, Canada - Jack Pine, Ontario site 1_JW_OM1H0_M1 (SPAdes)",DOE Joint Genome Institute (JGI),3300027521,Ga0209524,Gp0055379,William Mohn,Environmental,Terrestrial,Loam,Soil,"Forest soil microbial communities from Algoma, Ontario, Canada - Jack Pine, Ontario site 1_JW_OM1H0_M1",Forest soil,264778874,650226
3300008664,Metagenome,Permanent Draft,"Human microbial communities from the National Institute of Health, USA, HMP production phase","Human tongue dorsum microbial communities from NIH, USA - visit 1, subject 158337416 reassembly","Baylor College of Medicine, J. Craig Venter Institute (JCVI), Washington University in St. Louis",3300008664,Ga0111493,Gp0053013,,Host-associated,Human,Oral,Digestive system,"Human tongue dorsum microbial communities from NIH, USA - visit 1, subject 158337416",tongue dorsum,175870299,217923
3300000956,Metagenome,Permanent Draft,"Soil microbial communities from Great Prairies (Kansas, Wisconsin and Iowa)","Soil microbial communities from Great Prairies - Kansas, Native Prairie soil",DOE Joint Genome Institute (JGI),3300000956,Ga0026071,Gp0051441,Janet Jansson,Environmental,Terrestrial,Unclassified,Soil,"Soil microbial communities from Great Prairies -  Kansas, Native Prairie soil",Grasslands,9280824611,31876498
3300026185,Metagenome,Draft,"Salt pond water, soil and salt crust microbial communities from South San Francisco under conditions of wetland restoration.",Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2_restored_C_black_MG (SPAdes),DOE Joint Genome Institute (JGI),3300026185,Ga0209949,Gp0125930,Susannah Tringe,Environmental,Terrestrial,Wetlands,Soil,Salt pond soil microbial communities from South San Francisco under conditions of wetland restoration - Salt Pond MetaG R2_restored_C_black_MG,Unclassified,367086926,704083
3300013253,Metagenome,Draft,"Marine hypoxic microbial communities from the Gulf of Mexico, USA","Marine hypoxic microbial communities from the Gulf of Mexico, USA - 10m_Station4_GOM_Metagenome",Georgia Institute of Technology,3300013253,Ga0116813,Gp0134733,,Environmental,Aquatic,Oceanic,Marine,"Marine hypoxic microbial communities from the Gulf of Mexico, USA - 10m_Station4_GOM_Metagenome",Unclassified,176187410,385323
3300027660,Metagenome,Permanent Draft,Forest soil microbial communities from multiple locations in Canada and USA,"Forest soil microbial communities from Thunder Bay, Ontario, Canada - Black Spruce, Ontario site 2_A8_Ref_M3 (SPAdes)",DOE Joint Genome Institute (JGI),3300027660,Ga0209736,Gp0055309,William Mohn,Environmental,Terrestrial,Loam,Soil,"Forest soil microbial communities from Thunder Bay, Ontario, Canada - Black Spruce, Ontario site 2_A8_Ref_M3",Forest soil,432992817,997446
3300024491,Metagenome,Draft,Freshwater microbial communities amended with dissolved organic matter (DOM) from various rivers in the United States,"Freshwater microbial communities from Mississippi River, Louisiana, United States - Miss_Colum_RepB_8h",DOE Joint Genome Institute (JGI),3300024491,Ga0255203,Gp0293396,Byron Crump,Environmental,Aquatic,River,Freshwater,"Freshwater microbial communities from Mississippi River, Louisiana, United States - Miss_Colum_RepB_8h",,104333685,232353
3300023112,Metagenome,Draft,Methane metabolizing microbial communities from different methane-rich environments from various locations,"Seawater microbial communities from Saanich Inlet, British Columbia, Canada - Na_anoxic_2_MG",DOE Joint Genome Institute (JGI),3300023112,Ga0233411,Gp0272214,Sean Crowe,Environmental,Aquatic,Inlet,Marine,"Seawater microbial communities from Saanich Inlet, British Columbia, Canada - Na_anoxic_2_MG",,770394218,1977399
3300014749,Metagenome,Draft,Human host-associated microbial communities from fecal samples of mother and infant in Denmark,Human fecal microbial communities from infant at 12 months in Denmark - 567_12M,Beijing Genomics Institute (BGI),3300014749,Ga0169785,Gp0193772,,Host-associated,Human,Large intestine,Digestive system,Human fecal microbial communities from infant at 12 months in Denmark - 567_12M,Fecal,68577753,84785
3300029359,Metagenome,Draft,"Human feces microbial communities from cholera patients in hospital, Baltimore, Maryland, USA","Human feces microbial communities from a cholera patient in hospital, Baltimore, Maryland, USA - 048_3_11_stool_2","Institute for Genome Sciences, University of Maryland School of Medicine",3300029359,Ga0243835,Gp0282996,,Host-associated,Human,Large intestine,Digestive system,"Human feces microbial communities from a cholera patient in hospital, Baltimore, Maryland, USA - 048_3_11_stool_2",Fecal,214729136,303644
3300008300,Metagenome,Permanent Draft,"Human microbial communities from the National Institute of Health, USA, HMP production phase","Human supragingival plaque microbial communities from NIH, USA - visit 1, subject 686765762 reassembly","Baylor College of Medicine, J. Craig Venter Institute (JCVI), Washington University in St. Louis",3300008300,Ga0114869,Gp0053200,,Host-associated,Human,Oral,Digestive system,"Human supragingival plaque microbial communities from NIH, USA - visit 1, subject 686765762",Supragingival plaque,55515316,115130
3300025924,Metagenome,Draft,"Corn, switchgrass and miscanthus rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA","Corn rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - KBS C3-4 metaG (SPAdes)",DOE Joint Genome Institute (JGI),3300025924,Ga0207694,Gp0127766,James Tiedje,Host-associated,Plants,Unclassified,Rhizosphere,"Corn rhizosphere microbial communities from Kellogg Biological Station, Michigan, USA - KBS C3-4 metaG",Unclassified,3431096444,7945382
3300024230,Metagenome,Draft,"Seawater microbial communities from Monterey Bay, California, United States","Seawater microbial communities from Monterey Bay, California, United States - 48D",DOE Joint Genome Institute (JGI),3300024230,Ga0228638,Gp0266628,Mary Ann Moran,Environmental,Aquatic,Coastal,Marine,"Seawater microbial communities from Monterey Bay, California, United States - 48D",,320571656,654256
3300029899,Metagenome,Draft,Cryconite microbial communities around the Greenland ice sheet,"Cryconite microbial communities from ice sheet in Tasiilaq, Greenland - TAS_U-A2a","DMAC, Technical University of Denmark",3300029899,Ga0247047,Gp0289632,,Environmental,Aquatic,Ice,Freshwater,"Cryconite microbial communities from ice sheet in Tasiilaq, Greenland - TAS_U-A2a",,255335083,466796
3300014196,Metagenome,Draft,"Human oral microbial communities of schizophrenia patients from Maryland, USA","Human oral microbial communities of schizophrenia patients from Maryland, USA - ES_116",The George Washington University (GWU),3300014196,Ga0134365,Gp0151537,,Host-associated,Human,Oral,Digestive system,"Human oral microbial communities of schizophrenia patients from Maryland, USA - ES_116",Throat,79941407,130238
